system,sr_no,id,code,term,short_definition,long_definition,reference,ontology_branches
Unani,22,21,A-10,Mashra,Erysipelas,Mashra is a Suryani word which literally means acute inflammation of any part of body due to predominance of Dam (blood/sanguine) and Safra (yellow bile). Ancient Unani physicians used this word for the inflammation of face and forehead. Ibn Sina included this term for the acute inflammation of liver. But most recent Unani physicians describe this as an acute inflammation of face and forehead with pain and itching.,,
Unani,23,22,A-11,Ma al-Ras,Hydrocephalus,"Accumulation of fluid in the head. Can be beneath the scalp or inside the head. If inside the head, patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is fatal. If beneath scalp, usually curable (caput succeedenum).",,
Unani,24,23,A-12,Subat,Coma,A prolonged phase of deep unconsciousness.,,
Unani,25,24,A-12.1,Subat Sahri,Coma vigil,"A type of deep sleep with phases of consciousness in between. Due to predominance of Balgham (phlegm). According to Qarshi and others, it can also occur due to Safra and Balgham.",,
Unani,26,25,A-12.2,Subat Barid,coma due to coldness of brain,Caused by exposure to cold or intake of narcotic drugs.,,
Unani,27,26,A-12.3,Subat Rutubi,coma due to moistness of brain,Caused by the predominance of Rutubat (moistness) in the body hindering oxygenation.,,
Unani,28,27,A-12.4,Subat Damawi,Sanguineous coma,Caused by predominance of Dam (blood/sanguine) in the body.,,
Unani,29,28,A-12.5,Subat Bukhari,Coma due to vapours,"Produced by gases from bad humours of stomach, lungs, intestine or uterus.",,
Unani,30,29,A-12.6,Subat Dufi,coma due to weakness of brain,Caused by the weakness of brain and nerves.,,
Unani,31,30,A-12.7,Subat Darbi,Traumatic coma,Due to injury of head and brain especially temporal region.,,
Unani,32,31,A-13,Sahar,Insomnia,A disease in which the patient remains in wakeful state all the time.,,
Unani,33,32,A-13.1,Sahar Yabis,Insomnia due to dryness,Caused by predominance of Yubusat (dryness) either in terms of matter i.e. Sawda (black bile) and Safra (yellow bile) or simple.,,
Unani,34,33,A-13.2,Sahar Rutubi,Insomnia due to moistness,Wakefulness due to accumulation of Rutubat (moistness) in the brain.,,
Unani,35,34,A-14,Nisyan,Amnesia,A state of forgetfulness.,,
Unani,36,35,A-14.1,Nisyan Barid Ratb,forgetfulness due to coldness and moistness/ Retrograde Amnesia,Forgetfulness caused by predominance of Burudat (coldness) or Rutubat (moistness).,,
Unani,37,36,A-14.2,Nisyan Barid Yabis,forgetfulness due to coldness and dryness/ Anterograde Amnesia,Forgetfulness caused by predominance of Burudat (coldness) or Yubusat (dryness).,,
Unani,38,37,A-14.3,Nisyan Harr Yabis,forgetfulness due to heat and dryness,Forgetfulness caused by predominance of Yubusat (dryness) in brain tissues. Incurable if tissue loss present.,,
Unani,39,38,A-15,Ikhtilat al-Dhahn,mental derangement,A confused state of mind not reaching the level of Junun. A type of melancholia.,,
Unani,40,39,A-16,Hadhayan,Delirium,A state in which the patient talks continuously and irrelevantly.,,
Unani,41,40,A-17,Humq,Dementia,Weakness of thinking faculties leading to distraction. Patient cannot maintain social equilibrium and engages in irrelevant tasks.,,
Unani,42,41,A-18,Ruunat,egomania,"Weakness of faculties leading to egoistic behaviour, violence, superiority feelings.",,
Unani,43,42,A-19,Malankhuliya,Melancholia,Combination of Malan (black) and Khuliya (safra). Severe depression due to burnt black bile or burnt yellow bile in the brain. Patients experience false perceptions.,,
Unani,44,43,A-19.1,Malankhuliya Damawi,Sanguineous melancholia,"Due to accumulation of Muhtariq Dam (burnt sanguine). Characterised by red eyes, strong pulse, confused mind, happiness.",,
Unani,45,44,A-19.2,Malankhuliya Balghami,Phlegmatic melancholia,Due to Muhtariq Balgham (burnt phlegm). Characterised by laziness and cold clammy skin.,,
Unani,46,45,A-19.3,Malankhuliya Safrawi,Bilious melancholia,"Due to Muhtariq Safra (burnt yellow bile). Characterised by insanity, anger, restlessness, delirium.",,
Unani,47,46,A-19.4,Malankhuliya Sawdawi,Melancholic melancholia,"Due to Muhtariq Sawda (burnt black bile) and Sawda (black bile). Characterised by fear, disturbing thoughts, crying.",,
Unani,48,47,A-19.5,Qutrub/ Illa al-Dhib/ Junun Dhibi,Lycanthropy,"Caused by Muhtariq Safra (burnt yellow bile). Chronic as humour is viscous. Patient lives in isolation, stays in graveyards by day, comes out at night, irritative, emaciated, pale, sometimes aggressive and makes noises like dog and cock.",,
Unani,49,48,A-19.6,Malankhuliya Marqi/ Nafkh Marqi/ Marqiyya/ Illat Nafikha/Sharsufiya,Psychoneurosis,Occurs when burnt humour accumulates in peritoneum due to heat producing Bukharat (gases) which disturb the brain.,,
Unani,50,49,A-20,Junun/ Waswas,Insanity,Disturbed state of mind with hallucinations and behavioural changes. Patient becomes insane and undisciplined.,,
